Year,Month,Product ID,Category,Region,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing
2022.0,1.0,P0001,Groceries,North,127.0,55.0,135.47,33.5,20.0,Rainy,0.0,29.69
2022.0,1.0,P0002,Toys,South,150.0,66.0,144.04,63.01,20.0,Sunny,0.0,66.16
2022.0,1.0,P0003,Toys,West,65.0,51.0,74.02,27.99,10.0,Sunny,1.0,31.32
2022.0,1.0,P0004,Toys,North,61.0,164.0,62.18,32.72,10.0,Cloudy,1.0,34.74
2022.0,1.0,P0005,Electronics,East,14.0,135.0,9.26,73.64,0.0,Sunny,0.0,68.95
2022.0,1.0,P0006,Groceries,South,128.0,102.0,139.82,76.83,10.0,Sunny,1.0,79.35
2022.0,1.0,P0007,Furniture,East,97.0,167.0,108.92,34.16,10.0,Rainy,1.0,36.55
2022.0,1.0,P0008,Clothing,North,312.0,54.0,329.73,97.99,5.0,Cloudy,0.0,100.09
2022.0,1.0,P0009,Electronics,West,175.0,135.0,174.15,20.74,10.0,Cloudy,0.0,17.66
2022.0,1.0,P0010,Toys,South,28.0,196.0,24.47,59.99,0.0,Rainy,1.0,61.21
2022.0,1.0,P0011,Furniture,South,150.0,153.0,152.74,58.53,10.0,Sunny,1.0,61.42
2022.0,1.0,P0012,Clothing,West,24.0,70.0,26.75,58.25,20.0,Snowy,0.0,62.21
2022.0,1.0,P0013,Toys,South,42.0,85.0,41.46,43.6,0.0,Cloudy,0.0,46.31
2022.0,1.0,P0014,Clothing,West,12.0,187.0,6.8,78.11,0.0,Sunny,0.0,80.06
2022.0,1.0,P0015,Clothing,North,369.0,154.0,363.46,92.99,15.0,Snowy,0.0,95.8
2022.0,1.0,P0016,Electronics,North,255.0,69.0,255.74,21.9,5.0,Cloudy,1.0,20.27
2022.0,1.0,P0017,Toys,West,246.0,177.0,255.37,21.07,20.0,Sunny,0.0,16.49
2022.0,1.0,P0018,Clothing,South,151.0,47.0,147.27,19.57,5.0,Cloudy,0.0,23.13
2022.0,1.0,P0019,Clothing,East,257.0,186.0,267.38,73.28,10.0,Cloudy,0.0,77.26
2022.0,1.0,P0020,Toys,East,99.0,166.0,115.23,30.24,5.0,Cloudy,0.0,27.1
2022.0,1.0,P0001,Groceries,South,104.0,144.0,112.55,32.8,20.0,Sunny,1.0,30.78
2022.0,1.0,P0002,Clothing,West,141.0,151.0,135.62,46.16,10.0,Rainy,1.0,45.21
2022.0,1.0,P0003,Furniture,East,182.0,119.0,176.31,20.46,20.0,Snowy,1.0,22.0
2022.0,1.0,P0004,Toys,West,63.0,115.0,54.57,26.19,0.0,Cloudy,0.0,28.06
